Date,btc_price,btc_open,btc_high,btc_low,btc_change,btc_rsi
2024-05-22,69155.4,70141.0,70593.4,69024.3,-1.41,67.0717719381903
2024-05-23,67975.7,69166.3,70041.0,66578.1,-1.72,60.84700820270827
2024-05-24,68547.6,67971.1,69212.0,66685.8,0.85,68.55663932503029
2024-05-25,69284.4,68548.2,69558.8,68516.1,1.07,69.58640174146635
2024-05-26,68514.8,69287.2,69494.0,68294.5,-1.11,66.2038402004865
2024-05-27,69428.7,68514.6,70638.3,68275.2,1.33,65.33625655006877
2024-05-28,68366.0,69428.3,69560.7,67299.9,-1.53,66.29192475118415
2024-05-29,67635.8,68366.2,68897.6,67143.2,-1.07,54.1654609556318
2024-05-30,68354.7,67631.3,69504.7,67138.4,1.07,59.37591922248036
2024-05-31,68253.0,68352.3,68705.8,68077.2,-0.15,54.066470509562656
